monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
DEGM_DEMV_23510001,Nitrate,2001,0.797,2
ATPG70332042,Nitrate,2001,13.9,1
FRFR05183900,Nitrate,2001,0.283312,8
FRBSS000ZWUM,Nitrate,2001,1.0,2
SIV8600,Total organic carbon (TOC),2001,1.5,4
HU101179295,Chlorophyll a,2001,5.3538,26
FISW_199,Nitrite,2001,0.002,2
CZVP8219,Nitrate,2001,189.0,1
FISW_1560,Ammonium,2001,0.078951,2
ES030ESPFTA55707011,Nitrite,2001,0.00988,4
FISW_238,Total organic carbon (TOC),2001,18.0,1
NO012-30612,Secchi depth,2001,5.54,5
BG4ST06999MS010,Nitrite,2001,0.006,2
FRGR04043200,Ammonium,2001,0.117527,3
FRBSS002LKPH,Nitrate,2001,12.8,1
ATPG31800032,Ammonium,2001,0.011375,1
DESM_DEBY_11801,Total organic carbon (TOC),2001,4.0,26
ATPG41021022,Nitrate,2001,11.0175,1
FRBSS001UDUZ,Nitrate,2001,18.6,1
ATPG30801102,Ammonium,2001,0.0305,1
FISW_144,Chlorophyll a,2001,12.0,1
ATPG60106042,Ammonium,2001,0.01,1
DESM_NW101904,Ammonium,2001,0.049969,13
ES020ESPF004300042,Ammonium,2001,24.676355,5
FRDR06206000,Chlorophyll a,2001,4.1247,7
PL02S0101_0526,Phosphate,2001,0.0673,26
FRBSS000ZYWS,Nitrate,2001,53.0,3
SE698918-158665,Secchi depth,2001,2.16667,3
IT0552,BOD5,2001,1.66667,12
NO084-38551,Phosphate,2001,0.004,1
ES050ESPF10201,Phosphate,2001,0.110351,2
FRDR06011000,Chlorophyll a,2001,2.1313,7
CZVB0360,Nitrite,2001,0.0671,2
ATPG10002982,Nitrite,2001,0.01,1
ATPG41217012,Nitrate,2001,16.55,1
FRBSS001HVVG,Nitrate,2001,43.0,1
FRCR02060750,BOD5,2001,2.8178,5
ES010ESPFMS010FQ,Nitrate,2001,0.847815,10
ESCHC05_3023,Phosphate,2001,0.10595,2
FRBSS002LKWB,Nitrate,2001,14.0,1
ESCHC2072,Nitrate,2001,1.343016,2
BG1YN00621MS170,Phosphate,2001,0.165282,11
ES020ESPF004300020,Nitrate,2001,0.378366,2
HU101179170,Total organic carbon (TOC),2001,7.0038,26
DESM_BWU51,Nitrite,2001,0.024,26
IEMRRS32B010200,Ammonium,2001,0.012492,2
FRBSS000ANMZ,Nitrate,2001,12.0,4
FISW_532,Phosphate,2001,0.002,2
ATPG80401152,Nitrite,2001,0.01,1
ES030ESBT03-05-042,Nitrate,2001,8.600421,1
CZPMO_1169,Nitrate,2001,3.580149,12
FISW_823,Total organic carbon (TOC),2001,11.075,4
FRFR05109000,Ammonium,2001,0.120725,6
PL01S0801_1343,BOD5,2001,3.8,24
FRBSS001CLTV,Nitrate,2001,25.8,3
FISW_594,Phosphate,2001,0.01,2
ITI027TG1,BOD5,2001,1.70583,12
LTR82,Chlorophyll a,2001,6.4967,3
HU101178210,Nitrite,2001,0.0227,26
FRDR06142687,Phosphate,2001,0.0241,2
DEGM_DESN_52406001,Nitrate,2001,46.0,2
SIP58120,Nitrite,2001,0.004,1
FRFR05131000,Chlorophyll a,2001,6.4575,9
ES020ESPF004300221,Ammonium,2001,0.044822,12
FISW_742,Chlorophyll a,2001,5.18,5
ATFW61300337,BOD5,2001,1.54167,12
FRBSS001RHWB,Nitrate,2001,11.6,5
CZVP7218,Nitrite,2001,0.0075,2
FISW_743,Phosphate,2001,0.0029,14
DESM_DEBE_430,Ammonium,2001,0.171893,13
ATFW71500967,Total organic carbon (TOC),2001,0.777167,12
FRFR05117000,Total phosphorus,2001,0.1436,13
ES040ESPF000400699,Nitrate,2001,1.722512,9
BG1OG00733MS150,Ammonium,2001,0.01555,2
FRFR05191000,Nitrite,2001,0.0076,10
ATPG60624372,Nitrate,2001,20.375,1
IT05113,Ammonium,2001,0.171054,12
FRBSS002KBBN,Nitrate,2001,31.4,1
SE704955-159090,Total organic carbon (TOC),2001,9.425,4
FRBSS002MZWQ,Nitrate,2001,1.0,4
FISW_777,Ammonium,2001,0.008195,12
CZVP7616,Ammonium,2001,0.106,1
CZVP7724,Nitrite,2001,0.0584,2
EESJA7299000,BOD5,2001,1.27155,12
SE623006-149119,Nitrate,2001,0.1793,12
FISW_832,Total phosphorus,2001,0.1172,9
NO246-41610,Dissolved organic carbon (DOC),2001,2.2,1
FISW_750,Nitrate,2001,2.8017,23
SKS725493,Nitrate,2001,54.95,2
FRBSS000WJFS,Nitrate,2001,45.25,2
ES080ESPFES080-JU115,Nitrate,2001,3.1358,12
BERW_03190,Ammonium,2001,0.036877,13
SII10120,Phosphate,2001,0.029,1
NO021-41609,Dissolved organic carbon (DOC),2001,2.9,1
SE632515-146675,Total organic carbon (TOC),2001,4.15,4
LVV0060100,Nitrate,2001,0.830035,9
CZPMO_1175,Chlorophyll a,2001,7.22,12
FRCR02041950,Nitrite,2001,0.0174,13
DEGM_DEBY_4110582900010,Nitrate,2001,8.0,1
IEMRRS14B013500,Ammonium,2001,0.059106,7
NO012-40960,Dissolved organic carbon (DOC),2001,6.0,1
SKS736591,Ammonium,2001,0.15,2
SIP66400,Phosphate,2001,0.016,1
PL01S0302_0232,Secchi depth,2001,4.7,7
ATFW21560297,Nitrite,2001,0.0125,12
NO194-41067,Total organic carbon (TOC),2001,0.73,1
FRFR05175100,Nitrate,2001,1.828676,10
PL02S1301_1134,Nitrite,2001,0.147101,24
SE617797-135339,Phosphate,2001,0.004,4
DESM_DEBY_13243,Phosphate,2001,0.019,26
ITAMS22SG0021,Ammonium,2001,0.030237,9
ATPG32101112,Nitrate,2001,64.2375,1
FRCR02004000,Total phosphorus,2001,0.2382,20
DESM_NW003001,Total phosphorus,2001,0.124,13
PT354T38,Ammonium,2001,0.0125,2
ES080ESPF08112,Nitrate,2001,1.291434,12
PL01S0301_0923,Phosphate,2001,0.1309,26
ES050ESPF10615,Nitrate,2001,0.97064,8
ATPG61205102,Nitrite,2001,0.01,1
SE662506-158465,Nitrate,2001,0.9527,12
FISW_1045,Phosphate,2001,0.006,2
BERW_11221,Phosphate,2001,0.0323,13
ATPG10003112,Nitrate,2001,100.325,1
SKS731291,Nitrite,2001,0.005,2
SE666699-136103,Phosphate,2001,0.002,4
FISW_475,Chlorophyll a,2001,2.214,7
FISW_601,Total phosphorus,2001,0.035,4
ATPG30400042,Ammonium,2001,0.01,1
ES080ESPFES080-JU081,Nitrate,2001,2.17359,4
IT09S1263,Total phosphorus,2001,0.2,11
PL02S1201_1016,Phosphate,2001,0.0571,12
DESM_DESN_OBF49500,Nitrate,2001,4.700195,14
FRGR04030000,Chlorophyll a,2001,6.3534,2
CZVP8435,Nitrate,2001,1.0,1
ATPG32101162,Ammonium,2001,0.01,1
FISW_1023,Phosphate,2001,0.0175,27
AT312777,Ammonium,2001,0.01,1
SE665649-161397,Total organic carbon (TOC),2001,24.3,12
CZPLA_1,BOD5,2001,2.4,12
FRBSS000RBXN,Nitrate,2001,45.2,2
FISW_583,Total organic carbon (TOC),2001,11.5,1
CZPOH_1008,Chlorophyll a,2001,10.48,12
FRFR05018000,Ammonium,2001,0.043673,13
FRBSS001KVGF,Nitrate,2001,13.657143,7
IT03N00819IR1,Ammonium,2001,0.147728,12
ES091R0555,Phosphate,2001,0.06683,2
FRDR06017050,Total phosphorus,2001,0.2417,8
FRBSS002FACM,Nitrate,2001,3.72,5
FRBSS001MXLD,Nitrate,2001,18.0,1
SE634395-132849,Ammonium,2001,0.114829,12
CZVB0117,Nitrate,2001,1.829,2
IEMRRS32B030100,Ammonium,2001,0.017489,2
ES020ESPF004300009,Total organic carbon (TOC),2001,4.35,12
BG3MA00055MS0670,Nitrite,2001,0.034,12
ESCHC2012,Phosphate,2001,0.078566,1
ATPG54100552,Nitrate,2001,4.335,1
ATPG20801132,Nitrite,2001,0.00328,1
ATPG10003002,Ammonium,2001,0.01,1
PL02S0501_0817,Ammonium,2001,1.026861,12
ATPG53100222,Ammonium,2001,0.005,1
RO25400,Phosphate,2001,0.319,12
FRBSS002LJKZ,Nitrate,2001,2.5,2
FRDR06059500,Nitrite,2001,0.0255,12
DESM_NW628700,Phosphate,2001,0.05,19
FISW_239,Nitrate,2001,0.653,3
FISW_491,Secchi depth,2001,3.2,2
PL01S0801_1356,Nitrate,2001,1.707771,22
CZPOH_1001,Nitrate,2001,2.690112,12
ES020ESPF004300030,Nitrite,2001,0.131469,13
SII20040,Nitrate,2001,4.5,1
FRCR02060750,Total phosphorus,2001,0.1429,26
BERW_03880,Nitrate,2001,3.050127,13
FISW_131,Chlorophyll a,2001,68.0,1
DESM_DEMV_250011,Chlorophyll a,2001,4.375,4
RSRW00009,Phosphate,2001,0.126222,9
ATPG80414152,Ammonium,2001,0.005,1
FRFR05220000,Phosphate,2001,0.0848,9
LTR133,Phosphate,2001,0.0348,12
ATPG70331052,Nitrite,2001,0.0012,1
SE732407-183604,Total organic carbon (TOC),2001,4.7667,12
FRBSS002NBMC,Nitrate,2001,1.925,4
FRBSS000ZSMK,Nitrate,2001,38.4,1
FRDR06150800,Ammonium,2001,0.063061,2
CZPVL_5031,Nitrite,2001,0.03,12
SE665649-161397,Phosphate,2001,0.0188,12
NL89_STEENBGN,Nitrite,2001,0.0559,16
FRBSS002ESPJ,Nitrate,2001,25.175,4
ES091R0433,Phosphate,2001,0.145613,3
SE652707-159032,Phosphate,2001,0.00225,4
ES080ESPFES080-JU135,Nitrate,2001,1.059874,12
ATFW30900057,Total organic carbon (TOC),2001,3.12833,6
FRBSS002ATCT,Nitrate,2001,54.0,4
NL60_OGELE900,BOD5,2001,2.275,12
LVE0310100,BOD5,2001,3.274996,4
ES010ESPFMS113FQ,Nitrate,2001,2.466493,11
HU101179479,Chlorophyll a,2001,6.8962,27
NO031-42841,Total organic carbon (TOC),2001,2.55,2
IT0590,BOD5,2001,2.14,10
ES100ESPF200022700,BOD5,2001,0.9,10
PL01S0801_1360,BOD5,2001,13.7083,12
HU101178520,Total phosphorus,2001,0.1933,26
FRBSS001HUVY,Nitrate,2001,62.0,1
RO11900,Ammonium,2001,0.684215,12
ATPG54100402,Ammonium,2001,0.01,1
BERW_03260,Nitrate,2001,2.810617,22
ATPG31900552,Nitrite,2001,0.005,1
CZPMO_1175,Phosphate,2001,0.38,12
ATPG54101152,Ammonium,2001,0.21475,1
ES050ESPF51204,Ammonium,2001,0.574361,11
ATPG54101152,Nitrite,2001,0.01,1
CZPB0393,Nitrate,2001,17.855,2
ATFW31000037,Phosphate,2001,0.037278,12
FISW_88,Total organic carbon (TOC),2001,22.4,15
ATFW80214057,Nitrate,2001,1.377557,12
SE662506-158465,Total phosphorus,2001,0.1756,12
PL02S1401_1374,Phosphate,2001,0.1595,25
ATPG30600092,Nitrate,2001,4.1525,1
FRBSS002HNHX,Nitrate,2001,9.5,1
FISW_200,Chlorophyll a,2001,10.1,5
RO24300,Nitrate,2001,0.813634,12
FRFR05135100,Nitrate,2001,1.19905,11
FRFR05125000,BOD5,2001,2.1765,10
ES020ESPF004300100,BOD5,2001,0.0,2
HU101178357,Ammonium,2001,0.076852,49
FISW_493,Chlorophyll a,2001,3.0,1
BG2KA00819MS025,Ammonium,2001,2.040981,12
SKS714390,Ammonium,2001,0.5,1
ATPG70322052,Ammonium,2001,0.01,1
IT05106,Nitrate,2001,0.372916,10
ES010ESPFMS035FQ,Nitrate,2001,0.575024,1
AT328401,Ammonium,2001,59.275,1
SE640881-140842,Ammonium,2001,0.22566,12
HU101179309,BOD5,2001,3.4076,26
SE672915-157210,Phosphate,2001,0.0048,11
FRFR05128000,BOD5,2001,1.7428,11
ATPG32300112,Nitrite,2001,0.005,1
FRBSS000WXFL,Nitrate,2001,27.5,6
FISW_452,Nitrate,2001,0.217,2
SIV1010,Ammonium,2001,0.24312,6
FRBSS000SCJW,Nitrate,2001,0.3,6
BERW_00400,Nitrite,2001,0.222601,13
DESM_DEBY_17984,Total phosphorus,2001,0.239,26
FISW_699,Chlorophyll a,2001,35.0,2
ATFW61400087,BOD5,2001,1.25833,12
HU101178313,Total phosphorus,2001,0.3338,26
FISW_517,Secchi depth,2001,4.38,5
BEVL_VMM_770000,BOD5,2001,1.63636,11
DK78-796-16,Ammonium,2001,0.009,5
FISW_474,Total phosphorus,2001,0.005,5
SKS726592,Ammonium,2001,0.04125,4
FISW_94,Total phosphorus,2001,0.0935,15
CZPP0300,Nitrate,2001,34.685,2
FRBSS000YRXJ,Nitrate,2001,0.1,1
ATPG32300372,Nitrate,2001,10.75,1
RO86801,Nitrite,2001,0.0304,12
RO43500,Ammonium,2001,0.458735,12
ATPG30700502,Nitrate,2001,11.025,1
IT16CA_TS01,Nitrate,2001,1.014372,11
SE622803-144609,Total phosphorus,2001,0.02175,4
RO143900_1,Nitrate,2001,0.632826,12
SIV7190,BOD5,2001,1.0,5
FISW_1543,Total phosphorus,2001,0.011,2
RO129700,BOD5,2001,4.8,12
NO001-40962,Total organic carbon (TOC),2001,8.8,1
ATPG60107442,Nitrite,2001,0.01,1
RO44200,BOD5,2001,2.2,12
SE660945-156129,Ammonium,2001,0.092742,12
ES040ESPF000400708,Nitrate,2001,4.206885,9
IEMRRS26S070300,Phosphate,2001,0.053,3
CZPLA_8,Chlorophyll a,2001,5.19,12
NO244-41064,Total organic carbon (TOC),2001,0.87,1
DEGM_HE_7750,Ammonium,2001,0.09,1
DESM_NW731808,Nitrate,2001,4.893204,13
ES050ESPF10209,Nitrate,2001,5.11417,4
DESM_DEMV_0108170014,Ammonium,2001,0.120925,26
FRDR06194000,Nitrite,2001,0.0881,9
ATPG10003002,Nitrite,2001,0.005,1
FISW_685,Phosphate,2001,0.002,3
EESJA5316000,Nitrate,2001,13.275,4
EESJA4328000,Total phosphorus,2001,0.0537,12
FISW_409,Chlorophyll a,2001,34.0,8
ATKK30500762,Ammonium,2001,0.01,1
ATFW61300337,Nitrite,2001,0.015867,12
DESM_NW070610,Secchi depth,2001,4.0,4
FISW_817,Total organic carbon (TOC),2001,14.75,4
ATFW61300327,Phosphate,2001,0.022975,12
HU101179527,Phosphate,2001,0.8195,24
SE712246-170866,Total phosphorus,2001,0.010667,3
PL01S1501_1771,BOD5,2001,57.8,12
HU102087074,BOD5,2001,4.1769,26
FISW_453,Ammonium,2001,0.003998,2
ATKK61245032,Nitrate,2001,1.7075,1
EESJA6896000,Total phosphorus,2001,0.0943,6
FRER06215700,BOD5,2001,1.3166,2
SE728744-162653,Total phosphorus,2001,0.0065,4
ES040ESPF000400405,BOD5,2001,1.03636,11
FISW_435,Chlorophyll a,2001,1.9,2
FRGLJ520520T,Nitrite,2001,0.0183,2
ATPG30600182,Ammonium,2001,0.01,1
FRDR06106600,Phosphate,2001,0.0565,12
ATFW30900037,Total organic carbon (TOC),2001,2.58139,12
HU101178368,Chlorophyll a,2001,8.05,4
SIP38120,Phosphate,2001,0.013,1
ATPG20803052,Ammonium,2001,0.00515,1
ES020ESPF004300088,Nitrate,2001,0.316838,4
SE675032-135400,Ammonium,2001,0.012092,16
FISW_236,Ammonium,2001,0.005996,3
ATFW40710047,Total phosphorus,2001,0.03653,10
FRBSS001MNDK,Nitrate,2001,50.0,4
SIP38120,Nitrate,2001,2.2,1
FRDR06065700,Nitrate,2001,0.587124,11
CZVB0295,Nitrate,2001,1.221,2
ATPG32300082,Ammonium,2001,0.01,1
FISW_10,Phosphate,2001,0.0053,16
FRBSS001DZVR,Nitrate,2001,2.5,2
FRHR03163000,Ammonium,2001,0.36997,12
RO12790,BOD5,2001,3.8,12
FRFR05103000,Phosphate,2001,0.0607,5
IEMRRS24D020400,BOD5,2001,1.54539,13
ATPG70331082,Ammonium,2001,0.008175,1
ATPG54100612,Ammonium,2001,0.01,1
LTR106,Nitrate,2001,0.565023,12
DESM_BB_SP_0210,Total organic carbon (TOC),2001,7.5,26
FISW_1048,Total phosphorus,2001,0.004,2
FRER06215000,Chlorophyll a,2001,2.6323,2
PT309T31,Ammonium,2001,0.01,2
FISW_1037,Total phosphorus,2001,0.007,2
LVL1070100,Phosphate,2001,0.0678,10
FISW_236,Chlorophyll a,2001,6.4,1
EESJA2030000,Nitrite,2001,0.003,1
BG1RL00931MS080,BOD5,2001,5.33,12
FRBSS000YNPL,Nitrate,2001,47.54,5
FRCR02041950,Total phosphorus,2001,0.203,10
FRHR03149487,Phosphate,2001,0.0691,9
ES050ESPF10504,BOD5,2001,5.68083,12
BG4ST00661MS530,Phosphate,2001,0.144092,12
ES050ESPF10802,BOD5,2001,4.54333,12
BEVL_VMM_91000,Chlorophyll a,2001,1.6,6
ATPG92200562,Nitrite,2001,0.001,1
CZPP0293,Ammonium,2001,0.05,2
ATFW61400267,BOD5,2001,1.18333,12
PL02S1401_1383,Total phosphorus,2001,0.1825,12
FRFR05103000,Ammonium,2001,0.050968,7
IT06UD011,Ammonium,2001,0.051834,6
SE686849-145214,Total phosphorus,2001,0.0075,4
CZPB0094,Ammonium,2001,0.05,2
DESM_DETH_2198,Nitrite,2001,0.051,21
NO112-38536,Total organic carbon (TOC),2001,3.4,1
SKS601691,Nitrate,2001,2.5,4
CZVP7215,Nitrate,2001,2.45,2
NO024-38530,Total organic carbon (TOC),2001,5.3,1
FISW_626,Chlorophyll a,2001,2.4,2
RSRW00028,Phosphate,2001,0.116545,11
FISW_452,Total organic carbon (TOC),2001,6.5,1
DESM_BWU41,Nitrate,2001,1.809695,26
FISW_582,Secchi depth,2001,5.433,3
HU102087742,Ammonium,2001,0.953107,24
ATPG54106952,Nitrate,2001,23.975,1
FRFR05233000,BOD5,2001,2.375,2
LV230LIVD10_9657,Nitrate,2001,0.0443,1
FISW_777,Total organic carbon (TOC),2001,6.5727,11
DESM_DERP_2599511100,Nitrite,2001,0.019,26
FISW_899,Total phosphorus,2001,0.19,7
CZVB0250,Nitrate,2001,82.53,2
PL01S1501_1857,Phosphate,2001,0.0916,12
DESM_DENI_48292018,Ammonium,2001,0.139913,26
FRDR06000997,Chlorophyll a,2001,7.9365,3
ESCHC2128,BOD5,2001,0.654545,11
ATPG53100212,Ammonium,2001,0.005,1
PT365T27,Nitrite,2001,0.01,2
ATPG60655192,Nitrite,2001,0.005,1
SKS714390,Nitrate,2001,2.5,1
FRDR06149500,Nitrite,2001,0.0193,12
IT2111117,Total phosphorus,2001,0.030454,11
PL02S0501_0783,Total phosphorus,2001,0.2742,12
CZPMO_3764,Nitrite,2001,0.330002,12
DESM_DEMV_0204880024,Ammonium,2001,0.12792,26
FRBSS002JYZV,Nitrate,2001,9.3,1
LVD4770100,Nitrite,2001,0.0096,10
SIP54280,Nitrite,2001,0.004,1
NO003-30690,Dissolved organic carbon (DOC),2001,6.0,1
EESJA6334000,Nitrite,2001,0.0062,6
SKS601092,Nitrite,2001,0.0575,4
FRB2R01004000,Nitrate,2001,3.045327,12
PL01S0201_0818,Total phosphorus,2001,0.1712,26
PL01S1601_1958,Chlorophyll a,2001,3.4667,12
DESM_DENI_59452251,Nitrite,2001,0.026,26
FRBSS002EFSY,Nitrate,2001,21.0,1
CZVP7211,Nitrite,2001,0.0195,2
LTR18,Ammonium,2001,0.067258,12
RSRW00012,Phosphate,2001,0.029111,9
FRDR06580330,Nitrate,2001,2.392199,4
FRHR03235690,BOD5,2001,2.5631,6
FRGR04130500,Nitrate,2001,8.004133,4
SE716805-166700,Total phosphorus,2001,0.0063,12
AT322404,Nitrite,2001,0.052875,1
BG1YN00621MS170,Nitrate,2001,1.062044,12
SE628606-133205,Nitrate,2001,0.06925,4
FISW_767,Total organic carbon (TOC),2001,4.68,5
CZVP8418,Nitrate,2001,25.75,2
SKS727491,Ammonium,2001,0.01,2
FRER06215000,BOD5,2001,1.3553,2
SE700773-157350,Nitrate,2001,0.0484,12
CZVB9805,Nitrite,2001,0.01775,2
ATPG60106042,Nitrite,2001,0.01,1
FRFR05039000,BOD5,2001,2.1708,7
FRBSS001EMUY,Nitrate,2001,3.333333,3
CZVP7728,Ammonium,2001,0.05,2
FRBSS000YSXS,Nitrate,2001,4.85,2
HU101178885,Nitrite,2001,0.096101,24
SE666699-136103,Nitrate,2001,0.01925,4
DESM_DENI_48812210,Nitrite,2001,0.075,26
CZVB9808,Nitrite,2001,0.0137,2
BERW_04780,Ammonium,2001,0.412044,13
SIV5110,Total organic carbon (TOC),2001,4.266667,3
FRBSS001AQUM,Nitrate,2001,6.85,2
FRDR06100000,Total phosphorus,2001,0.058,3
ATFW73190967,Total phosphorus,2001,0.113508,12
FISW_1039,Total phosphorus,2001,0.021,2
FISW_459,Ammonium,2001,0.004997,2
FRFR05081000,Total phosphorus,2001,0.1164,11
RO85010,Ammonium,2001,1.080748,12
FISW_529,Phosphate,2001,0.002,2
FRDR06117500,Nitrate,2001,0.787233,6
CZVP7713,Nitrate,2001,5.4365,2
FRDR06137200,Total phosphorus,2001,0.0488,8
FRGR04092550,Phosphate,2001,0.0135,4
PL01S1101_1610,Total phosphorus,2001,0.275,12
DEGM_DETH_5426240552,Nitrate,2001,6.5,1
FISW_459,Total organic carbon (TOC),2001,5.9,1
ES091R0555,BOD5,2001,4.65385,13
ESIBA518,Phosphate,2001,0.22005,6
ES080ESPF08134,BOD5,2001,0.5,8
FISW_85,Total organic carbon (TOC),2001,12.475,4
DESM_DEBE_115,Total phosphorus,2001,0.12959,17
FISW_923,Chlorophyll a,2001,5.5,1
ATPG31300062,Nitrite,2001,0.01,1
FISW_563,Ammonium,2001,0.009994,2
BG3MA00215MS0100,Nitrite,2001,0.298002,12
ES020ESPF004300027,Nitrite,2001,0.018848,12
FISW_191,Total organic carbon (TOC),2001,18.0,1
CZPB0030,Nitrite,2001,0.005,2
SE672467-148031,Nitrate,2001,0.066,4
SKS002976,Ammonium,2001,0.05,1
CZVB0049,Nitrite,2001,0.0665,2
SE758208-161749,Phosphate,2001,0.001,5
PL02S1301_1134,Phosphate,2001,0.1855,24
BERW_03880,Nitrite,2001,0.096801,13
LTR86,Phosphate,2001,0.5382,12
FRFR05131200,Phosphate,2001,0.0568,9
EESJA6005000,Nitrate,2001,0.868336,12
ES080ESPFES080-JU390,BOD5,2001,0.338095,21
DESM_NW402801,Phosphate,2001,0.05,19
FRHR03241590,Nitrite,2001,0.0147,6
HU101179228,BOD5,2001,2.8615,26
ES030ESPFTA46104001,Ammonium,2001,0.085552,4
ES091R0322,Phosphate,2001,0.05868,2
EESJA0301000,Total phosphorus,2001,0.0412,6
EESJA9900000,Nitrite,2001,0.0131,12
FISW_91,Ammonium,2001,0.169095,13
FRDR06133600,Nitrate,2001,0.297812,11
FRBSS001GFPL,Nitrate,2001,7.133333,6
FRCR02052000,Ammonium,2001,0.047371,13
EESJA3670000,Total phosphorus,2001,0.032,3
FRDR06017050,Nitrate,2001,2.553506,12
IT05221,Total phosphorus,2001,0.065,12
ES080ESPF08120,BOD5,2001,0.615385,13
DESM_BWU43,Total organic carbon (TOC),2001,4.8,13
LTR92,BOD5,2001,1.659481,12
FRHR03265993,Total phosphorus,2001,0.1234,11
FRGR04002100,Nitrate,2001,1.100446,2
FRBSS001UZTT,Nitrate,2001,0.25,1
RSRW00036,Ammonium,2001,0.09851,7
