monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
FRCR02060750,BOD5,2005,1.72083,24
EESJA4297000,Nitrite,2005,0.004,1
FRBSS002MQKU,Nitrite,2005,0.02,2
FRBSS001QACB,Nitrite,2005,0.02,1
ES010ESPFMS010FQ,Nitrate,2005,0.843368,15
FRBSS002LKWB,Nitrate,2005,12.6,5
ESCHC2072,Nitrate,2005,1.254702,2
RSRW00012,Total organic carbon (TOC),2005,4.05,2
ES020ESPF004300020,Nitrate,2005,0.570424,2
IT09S1280,Total phosphorus,2005,0.0417,3
HU101179170,Total organic carbon (TOC),2005,6.43954,43
DESM_BWU51,Nitrite,2005,0.02,26
PT426T291,Ammonium,2005,0.04,1
IEMRRS32B010200,Ammonium,2005,0.014991,4
FRBSS000ANMZ,Nitrate,2005,11.666667,3
FISW_532,Phosphate,2005,0.001,2
ATPG80401152,Nitrite,2005,0.01,1
ES030ESBT03-05-042,Nitrate,2005,6.10926,1
CZPMO_1169,Nitrate,2005,3.37514,12
FISW_823,Total organic carbon (TOC),2005,11.5,4
RSLW00011,Phosphate,2005,0.0123,1
FRFR05109000,Ammonium,2005,0.048051,11
PL01S0801_1343,BOD5,2005,2.342,12
RSLW00051,Secchi depth,2005,2.8,1
FRBSS001CLTV,Nitrate,2005,35.5,3
FISW_594,Phosphate,2005,0.012,2
ITI027TG1,BOD5,2005,1.16667,12
FRBSS000EEHP,Ammonium,2005,0.05,1
HU101178210,Nitrite,2005,0.023596,42
FRDR06142687,Phosphate,2005,0.074509,6
ATFW30900217,Phosphate,2005,0.024771,12
IT0801000200,Nitrate,2005,2.100087,12
SIP58120,Nitrite,2005,0.007,3
BG3MA00811MS1070,Total phosphorus,2005,0.112,4
FRFR05131000,Chlorophyll a,2005,7.3625,8
FRBSS002JJWW,Ammonium,2005,0.05,5
PLGW200090_003,Nitrite,2005,0.01,1
RSLW00019,Chlorophyll a,2005,2.4067,1
IT03POMI2LN1IR1,Phosphate,2005,0.006143,35
FISW_742,Chlorophyll a,2005,5.5667,6
ATFW61300337,BOD5,2005,2.725,12
FRBSS001RHWB,Nitrate,2005,8.254545,11
DEGM_DEBY_4120662900011,Ammonium,2005,0.03,2
CZVP7218,Nitrite,2005,0.0079,2
DEGM_DETH_4929210697,Ammonium,2005,0.06,1
FISW_743,Phosphate,2005,0.004,14
DESM_DEBE_430,Ammonium,2005,0.181887,13
IT03POAD2LN1LO2,Ammonium,2005,0.029701,118
ATFW71500967,Total organic carbon (TOC),2005,0.855,12
FRFR05117000,Total phosphorus,2005,0.055385,13
IT11I0283TR,BOD5,2005,1.45,8
ES040ESPF000400699,Nitrate,2005,1.181679,8
BG1OG00733MS150,Ammonium,2005,0.046971,4
FRFR05191000,Nitrite,2005,0.007862,12
DEGM_DEBY_4120663000021,Nitrate,2005,48.5,2
ATPG60624372,Nitrate,2005,34.75,1
IT05113,Ammonium,2005,0.14491,12
FRBSS002KBBN,Nitrate,2005,23.154545,11
SE704955-159090,Total organic carbon (TOC),2005,9.0,4
ATFW40624016,Total organic carbon (TOC),2005,2.88333,12
ES091ESBT261960013,Nitrate,2005,26.0,1
FRBSS002MZWQ,Nitrate,2005,0.375,4
CHNTG15,Nitrite,2005,0.01,1
ATFW41000076,Nitrite,2005,0.019917,12
FISW_777,Ammonium,2005,0.005796,12
IT09S1287,Ammonium,2005,0.209869,6
CZVP7616,Ammonium,2005,0.1325,2
CZVP7724,Nitrite,2005,0.038,2
EESJA7299000,BOD5,2005,1.192499,12
FRBSS000FAKU,Ammonium,2005,0.03,3
SE623006-149119,Nitrate,2005,0.215,12
NO246-41610,Dissolved organic carbon (DOC),2005,2.3,1
FISW_750,Nitrate,2005,2.4144,27
FRBSS000WJFS,Nitrate,2005,44.55,2
ES080ESPFES080-JU115,Nitrate,2005,3.047627,2
BERW_03190,Ammonium,2005,0.069157,12
ATFW21551356,Nitrate,2005,2.703752,11
SII10120,Phosphate,2005,0.03,3
FISW_651,Total organic carbon (TOC),2005,7.35,1
ES050ESPF50702,Total phosphorus,2005,2.155,4
NO021-41609,Dissolved organic carbon (DOC),2005,2.1,1
SE632515-146675,Total organic carbon (TOC),2005,4.6,4
LVV0060100,Nitrate,2005,0.732974,9
DEGM_DEBW_287-114-3,Nitrate,2005,0.5,1
CZPMO_1175,Chlorophyll a,2005,4.5367,12
FRCR02041950,Nitrite,2005,0.031449,12
DEGM_DEBY_4110582900010,Nitrate,2005,13.95,2
IEMRRS14B013500,Ammonium,2005,0.016323,9
NO012-40960,Dissolved organic carbon (DOC),2005,5.9,1
PT479A9,Ammonium,2005,0.04,2
ES091ESBT312080030,Ammonium,2005,0.046,1
SKS736591,Ammonium,2005,0.105,2
ATFW53210017,Ammonium,2005,0.024318,12
PL01S0302_0232,Secchi depth,2005,4.6,6
FRBSS002MXCY,Ammonium,2005,0.05,2
SIP66400,Phosphate,2005,0.005,2
DEGM_DENW_070270016,Ammonium,2005,0.0645,1
DEGM_DERP_2681110100,Nitrate,2005,0.575,2
ATFW21560297,Nitrite,2005,0.013417,12
NO194-41067,Total organic carbon (TOC),2005,0.83,1
FRFR05175100,Nitrate,2005,2.077506,10
PL02S1301_1134,Nitrite,2005,0.072,12
FRBSS002LAVB,Nitrite,2005,0.02,2
ITN011_018_SR_1_T_A,Nitrate,2005,0.161674,12
FRBSS001BHCC,Ammonium,2005,0.05,2
ATPG92100252,Nitrate,2005,4.3,1
DESM_DENI_48132055,BOD5,2005,2.96,26
SE617797-135339,Phosphate,2005,0.009,4
DESM_DEBY_13243,Phosphate,2005,0.015,26
ITAMS22SG0021,Ammonium,2005,0.029981,12
ATPG32101112,Nitrate,2005,62.925,1
ATFW73190967,Nitrite,2005,0.002333,12
FRBSS001KXJV,Nitrite,2005,0.02,2
FRCR02004000,Total phosphorus,2005,0.222083,24
EESJA1745000,Nitrite,2005,0.004,1
DESM_NW003001,Total phosphorus,2005,0.168,24
PT354T38,Ammonium,2005,0.03,2
ES080ESPF08112,Nitrate,2005,1.736572,2
ES050ESPF10615,Nitrate,2005,0.223646,6
ATPG61205102,Nitrite,2005,0.005,1
DEGM_DEBW_1-557-6,Ammonium,2005,0.01,1
SE662506-158465,Nitrate,2005,1.308,12
NO026-38526,Total phosphorus,2005,0.0035,4
BERWM073_4261002,Nitrite,2005,0.01,2
FISW_1045,Phosphate,2005,0.008,2
BERW_11221,Phosphate,2005,0.05,12
ATPG10003112,Nitrate,2005,65.4,1
SKS731291,Nitrite,2005,0.005,2
SE666699-136103,Phosphate,2005,0.003,4
FISW_475,Chlorophyll a,2005,2.612,8
FISW_601,Total phosphorus,2005,0.058,3
IT09S1217,Nitrate,2005,1.754573,10
ATPG30400042,Ammonium,2005,0.005,1
ES080ESPFES080-JU081,Nitrate,2005,3.151131,1
DEGM_HE_12096,Nitrate,2005,80.0,1
DESM_DESN_OBF49500,Nitrate,2005,4.384792,13
FRGR04030000,Chlorophyll a,2005,2.63875,8
DEGM_BB_34495033,Nitrite,2005,0.016,3
CZVP8435,Nitrate,2005,1.0,2
ATPG32101162,Ammonium,2005,0.01,1
FISW_1023,Phosphate,2005,0.0151,18
IT09S1149,Total phosphorus,2005,0.0218,1
BERWM151_4249056,Ammonium,2005,0.05,2
DEGM_DEBW_1-418-0,Ammonium,2005,0.01,1
CZPLA_1,BOD5,2005,1.9,12
FRBSS000RBXN,Nitrate,2005,43.1,1
FISW_583,Total organic carbon (TOC),2005,17.0,1
IT09S1225,Phosphate,2005,0.0001,3
FRBSS002LPYP,Ammonium,2005,0.05,6
SE706672-167201,Chlorophyll a,2005,1.0,2
FRFR05018000,Ammonium,2005,0.052467,12
FRBSS001AWAH,Nitrite,2005,0.02,3
FRBSS001KVGF,Nitrate,2005,23.176923,13
IT03N00819IR1,Ammonium,2005,0.145742,12
ES091R0555,Phosphate,2005,0.03912,2
FRDR06017050,Total phosphorus,2005,0.091667,12
DEGM_DENW_106500028,Nitrite,2005,0.0656,3
DEGM_DENI_9840081,Nitrite,2005,0.033,2
IT01001065,Nitrite,2005,0.039,12
FRBSS002FACM,Nitrate,2005,4.7,4
DEGM_DENI_9610751,Nitrate,2005,4.0,2
DEGM_DEBY_4120622800011,Ammonium,2005,0.025,2
RSGW00019,Nitrate,2005,1.35,1
FRBSS001MXLD,Nitrate,2005,18.5,1
CHNTG18,Nitrite,2005,0.01,4
FRBSS002LKWB,Nitrite,2005,0.05,4
IT01001230,BOD5,2005,2.93333,12
SE634395-132849,Ammonium,2005,0.077952,12
CZVB0117,Nitrate,2005,1.6,2
IEMRRS32B030100,Ammonium,2005,0.014991,4
PT411T198,Nitrite,2005,0.03,1
ES020ESPF004300009,Total organic carbon (TOC),2005,0.475,12
ATPG54100552,Nitrate,2005,3.275,1
ATPG20801132,Nitrite,2005,0.00657,1
ATPG10003002,Ammonium,2005,0.01,1
RSLW00079,Ammonium,2005,0.083748,1
PL02S0501_0817,Ammonium,2005,1.123301,6
BERWM073_4227008,Nitrate,2005,48.0,2
ATPG53100222,Ammonium,2005,0.002,1
RO25400,Phosphate,2005,0.4846,4
FRBSS002LJKZ,Nitrate,2005,2.7225,4
FRDR06059500,Nitrite,2005,0.02308,12
DESM_NW628700,Phosphate,2005,0.05,5
FISW_239,Nitrate,2005,0.561,3
FISW_491,Secchi depth,2005,2.4,2
PL01S0801_1356,Nitrate,2005,1.703071,12
CZPOH_1001,Nitrate,2005,2.191791,12
ES020ESPF004300030,Nitrite,2005,0.171356,12
SII20040,Nitrate,2005,3.475,2
FRCR02060750,Total phosphorus,2005,0.087917,24
BERW_03880,Nitrate,2005,2.990924,12
FRBSS001JSPP,Nitrite,2005,0.01,2
FISW_131,Chlorophyll a,2005,49.0,1
SKIDK152,Ammonium,2005,2.132004,12
DESM_DEMV_250011,Chlorophyll a,2005,4.66,5
RSRW00009,Phosphate,2005,0.1547,10
FRBSS001ZNHK,Nitrate,2005,0.25,1
FRFR05220000,Phosphate,2005,0.090182,11
LTR133,Phosphate,2005,0.038,12
ES080ESPFES080-JU073,Total phosphorus,2005,0.315,2
ATPG80414152,Ammonium,2005,0.011,1
ATPG70331052,Nitrite,2005,0.01,1
FRDR06159800,Ammonium,2005,0.040484,12
SKIDK205,Nitrate,2005,1.021622,12
SE732407-183604,Total organic carbon (TOC),2005,5.2,11
RSLW00013,Total phosphorus,2005,0.0156,1
FRBSS002NBMC,Nitrate,2005,3.05,2
FRBSS000ZSMK,Nitrate,2005,37.16,5
BERWE051_3933001,Ammonium,2005,0.05,1
FISW_1212,Phosphate,2005,0.081,1
FRDR06150800,Ammonium,2005,0.068013,6
BERWE033_4552030,Ammonium,2005,0.15,1
CZPVL_5031,Nitrite,2005,0.0291,12
SE665649-161397,Phosphate,2005,0.023,12
NL89_STEENBGN,Nitrite,2005,0.008185,13
BERWM141_4323002,Nitrite,2005,0.01,1
ES030ESBTCA03000030,Nitrate,2005,67.0,2
FRBSS002ESPJ,Nitrate,2005,29.7,2
ES091R0433,Phosphate,2005,0.127548,8
SKIDK211,BOD5,2005,2.57583,12
SIJ0203,BOD5,2005,0.31206,7
SE652707-159032,Phosphate,2005,0.003,4
ES080ESPFES080-JU135,Nitrate,2005,1.495062,2
ATFW30900057,Total organic carbon (TOC),2005,2.38333,12
FRBSS002ATCT,Nitrate,2005,41.8,5
RO82000,Ammonium,2005,0.218864,4
FRBSS001PRZC,Nitrite,2005,0.05,14
SKIDK052,Phosphate,2005,0.109333,12
ES010ESPFMS113FQ,Nitrate,2005,2.800366,12
NO031-42841,Total organic carbon (TOC),2005,2.15,2
IT0590,BOD5,2005,2.5,12
SKIDK204,Total phosphorus,2005,0.079417,12
PL01S0801_1360,BOD5,2005,4.392,12
HU101178520,Total phosphorus,2005,0.107087,23
FRBSS000KMWF,Ammonium,2005,0.034,5
FRBSS001HUVY,Nitrate,2005,47.0,3
RSRW00025,Phosphate,2005,0.053132,19
NO015-40682,Total phosphorus,2005,0.006,1
RO11900,Ammonium,2005,0.30481,4
RSLW00052,Secchi depth,2005,2.8,1
ATPG54100402,Ammonium,2005,0.002,1
BERW_03260,Nitrate,2005,2.898721,21
DEGM_DEBY_4110583100012,Nitrite,2005,0.02,2
ATPG31900552,Nitrite,2005,0.005625,1
CZPMO_1175,Phosphate,2005,0.2581,12
ATPG54101152,Ammonium,2005,0.2425,1
ATPG54101152,Nitrite,2005,0.002,1
CZPB0393,Nitrate,2005,23.75,2
FRBSS000MJBH,Nitrite,2005,0.02,2
ATFW31000037,Phosphate,2005,0.025667,12
ATFW31000377,BOD5,2005,1.7875,24
FISW_88,Total organic carbon (TOC),2005,19.5385,13
ATFW21550377,Total organic carbon (TOC),2005,2.11667,12
ATFW80214057,Nitrate,2005,1.621737,12
SE662506-158465,Total phosphorus,2005,0.17,12
ATPG30600092,Nitrate,2005,6.275,1
RSLW00077,BOD5,2005,2.2279,1
FRBSS000PVTQ,Nitrate,2005,72.4,1
FRBSS002HNHX,Nitrate,2005,8.763636,11
FRBSS000MBBY,Ammonium,2005,0.03,5
FISW_200,Chlorophyll a,2005,9.0,1
RO24300,Nitrate,2005,0.753031,4
FRFR05135100,Nitrate,2005,1.330055,10
FRFR05125000,BOD5,2005,1.46818,11
ES020ESPF004300100,BOD5,2005,0.0,1
HU101178357,Ammonium,2005,0.12365,31
PL01S1301_1695,Ammonium,2005,2.941171,7
FISW_493,Chlorophyll a,2005,4.1,1
IT11I0286TR,BOD5,2005,2.94444,9
BG2KA00819MS025,Ammonium,2005,1.202252,8
FISW_1062,Phosphate,2005,0.005,2
SKS714390,Ammonium,2005,0.81,1
IT09S1213,Phosphate,2005,2.5e-05,2
ATPG70322052,Ammonium,2005,0.004,1
IT05106,Nitrate,2005,1.741742,12
ES010ESPFMS035FQ,Nitrate,2005,1.305304,12
RO24300,Phosphate,2005,0.09,4
SE640881-140842,Ammonium,2005,0.221862,12
HU101179309,BOD5,2005,3.64,15
PLGW2000121_005,Nitrite,2005,0.01,1
SE672915-157210,Phosphate,2005,0.005,12
SKIDK045,Phosphate,2005,0.028367,12
FRFR05128000,BOD5,2005,1.43,10
ATPG32300112,Nitrite,2005,0.005,1
FRBSS000WXFL,Nitrate,2005,22.9,3
IT10TVR5,Nitrite,2005,0.079417,12
FISW_452,Nitrate,2005,0.232,1
SIV1010,Ammonium,2005,0.201221,12
FRBSS000SCJW,Nitrate,2005,0.7,5
BERW_00400,Nitrite,2005,0.373902,13
DESM_DEBY_17984,Total phosphorus,2005,0.245,26
FRBSS000HPES,Ammonium,2005,0.03,5
FISW_699,Chlorophyll a,2005,16.0,1
FISW_467,Ammonium,2005,0.035978,3
RO20100,Ammonium,2005,0.307809,4
ATFW61400087,BOD5,2005,0.979167,12
FRBSS001RUZQ,Nitrite,2005,0.01,2
HU101178313,Total phosphorus,2005,0.205,16
FISW_517,Secchi depth,2005,2.914,7
IT05373,Secchi depth,2005,2.6,2
DK78-796-16,Ammonium,2005,0.008325,6
IT09S1233,Total phosphorus,2005,0.055,5
FISW_94,Total phosphorus,2005,0.071,14
FRBSS001SSDL,Nitrite,2005,0.01,2
CZPP0300,Nitrate,2005,33.1,2
FRBSS001WCUM,Nitrite,2005,0.01,2
PT607F486,Ammonium,2005,0.03,1
ATPG32300372,Nitrate,2005,9.35,1
PT326T231,Ammonium,2005,0.03,1
IT09S1287,Phosphate,2005,0.05,1
RO86801,Nitrite,2005,0.019,4
RO43500,Ammonium,2005,0.147908,4
ATPG30700502,Nitrate,2005,14.575,1
FRBSS002DHZM,Ammonium,2005,0.18,3
SE622803-144609,Total phosphorus,2005,0.014,4
RO143900_1,Nitrate,2005,1.653069,24
ES020ESPF004300065,BOD5,2005,0.7,3
SIV7190,BOD5,2005,3.0,5
RO129700,BOD5,2005,27.11,4
NO001-40962,Total organic carbon (TOC),2005,7.6,1
DEGM_DENI_200001410,Nitrite,2005,0.033,1
HR31010,BOD5,2005,0.9542,12
FRBSS002MAYD,Ammonium,2005,0.05,2
RO32770,Nitrite,2005,0.012,4
IT09S1257,Ammonium,2005,0.01529,2
ATPG60107442,Nitrite,2005,0.005,1
NO024-41468,Ammonium,2005,0.027933,1
RO44200,BOD5,2005,1.79,4
SE660945-156129,Ammonium,2005,0.147908,12
ES040ESPF000400708,Nitrate,2005,5.345802,12
IT09S1284,BOD5,2005,1.33333,2
IEMRRS26S070300,Phosphate,2005,0.039,2
CZPLA_8,Chlorophyll a,2005,4.6917,12
NO244-41064,Total organic carbon (TOC),2005,0.77,1
PT229C281,Nitrate,2005,7.7,2
DEGM_HE_7750,Ammonium,2005,0.09,1
DESM_NW731808,Nitrate,2005,4.728767,14
DESM_DEMV_0108170014,Ammonium,2005,0.103935,27
DEGM_DENW_010409415,Ammonium,2005,0.0645,1
NO012-40688,Total organic carbon (TOC),2005,2.5,1
FRDR06194000,Nitrite,2005,0.026123,12
FRBSS001WWWV,Nitrate,2005,0.25,1
ATPG10003002,Nitrite,2005,0.009625,1
FISW_685,Phosphate,2005,0.01,2
ES020ESBT002900395,Ammonium,2005,0.05,2
EESJA4328000,Total phosphorus,2005,0.0456,12
FISW_409,Chlorophyll a,2005,40.5,8
ATKK30500762,Ammonium,2005,0.005,1
ATFW61300337,Nitrite,2005,0.016833,12
DESM_NW070610,Secchi depth,2005,5.18333,6
RSLW00018,Ammonium,2005,0.082049,1
FRBSS000UNYQ,Nitrite,2005,0.02,3
LTR266,Ammonium,2005,0.081949,12
NO002-41099,Ammonium,2005,0.024053,1
FISW_817,Total organic carbon (TOC),2005,15.5,4
FRDR06123700,Ammonium,2005,0.027853,6
ATFW61300327,Phosphate,2005,0.0225,12
LTR357,Nitrate,2005,1.162048,12
HU101179527,Phosphate,2005,0.746866,15
FRBSS001FFUL,Nitrite,2005,0.02,1
SE712246-170866,Total phosphorus,2005,0.016,4
FRBSS000HNGD,Ammonium,2005,0.03,5
FRBSS002MUWR,Ammonium,2005,0.05,2
BG3G0000AQHMP004,Nitrate,2005,5.916667,3
FISW_219,Total phosphorus,2005,0.065,3
PL01S1501_1771,BOD5,2005,83.967,12
HU102087074,BOD5,2005,3.62128,47
FISW_453,Ammonium,2005,0.005996,2
ATKK61245032,Nitrate,2005,1.625,1
DEGM_DENW_026500139,Nitrite,2005,0.0656,1
FRBSS000XCNT,Ammonium,2005,0.05,2
EESJA6896000,Total phosphorus,2005,0.0865,6
SE728744-162653,Total phosphorus,2005,0.006,4
NO247-41226,Total phosphorus,2005,0.003,1
PT376T129,Nitrate,2005,2.195,2
CZPMO_3636,Total organic carbon (TOC),2005,2.575,12
ES040ESPF000400405,BOD5,2005,1.075,12
IT09S1282,Total phosphorus,2005,0.05,1
FISW_435,Chlorophyll a,2005,2.7,1
FRBSS002CVZY,Ammonium,2005,0.05,2
ES040ESBT000400008,Ammonium,2005,0.02,2
